Date and time,Batch,LIQUID,LIQUID,LIQUID,LIQUID,LIQUID,LIQUID,pH,GAS,GAS,GAS,GAS,OFFGAS,OFFGAS,PRESSURE,PRESSURE,OXYGEN
,,INFLOW,INFLOW,INFLOW,INFLOW,INFLOW,INFLOW,,INFLOW,INFLOW,INFLOW,INFLOW,1,2,1,2,
,,1,2,3,4,5,6,,1,2,3,4,,,,,
04/02/2019 08:46,4030,1049.57,25.91,14.44,,297.73,14980.00,5.76,,,,55.14,1.87,16.94,1.79,5.15,6.78
04/02/2019 09:01,4030,1049.09,25.62,13.54,,357.44,15000.00,5.79,,,,56.88,1.89,20.52,1.80,5.16,8.39
04/02/2019 09:16,4030,1049.61,25.44,13.59,,356.83,15010.00,5.80,,,,56.03,1.94,23.77,1.80,5.15,8.07
04/02/2019 09:31,4030,1047.57,25.59,13.97,,356.77,15000.00,5.79,,,,53.91,2.00,27.01,1.80,5.15,7.23
04/02/2019 09:46,4030,1048.16,25.49,13.43,,357.21,15010.00,5.78,,,,53.97,2.05,30.15,1.80,5.13,7.16
04/02/2019 10:01,4030,1040.91,25.21,13.60,,357.12,15000.00,5.77,,,,57.49,2.08,34.41,1.80,5.12,7.77
04/02/2019 10:16,4030,1013.31,26.56,14.02,,369.12,15380.00,5.77,,,,62.01,2.10,37.28,1.80,5.11,7.34
04/02/2019 10:31,4030,1018.49,28.02,15.01,,393.28,15990.00,5.77,,,,64.93,2.11,39.91,1.80,5.11,8.42
04/02/2019 10:46,4030,967.10,27.96,14.89,,393.12,16360.00,5.78,,,,66.35,2.12,42.06,1.80,5.10,8.40
04/02/2019 11:01,4030,950.22,28.33,14.96,,393.07,16470.00,5.78,,,,65.56,2.10,43.97,1.80,5.10,11.00
04/02/2019 11:16,4030,941.04,27.98,14.86,,393.13,16510.00,5.82,,,,48.47,1.91,44.78,1.80,5.08,20.58
04/02/2019 11:31,4030,933.25,28.41,14.91,,392.76,16510.00,5.85,,,,25.43,1.56,44.01,1.80,5.05,62.97
04/02/2019 11:46,4030,1061.85,28.06,14.85,,392.90,16480.00,5.89,,,,25.12,1.26,40.91,1.80,5.01,88.10
04/02/2019 12:01,4030,1050.37,28.08,14.84,,392.87,16480.00,5.77,,,,39.78,1.53,37.05,1.80,5.01,51.01
04/02/2019 12:16,4030,1050.51,27.80,14.86,,393.04,16510.00,5.74,,,,66.56,1.89,33.00,1.80,5.03,10.69
04/02/2019 12:31,4030,1050.35,28.31,14.86,,392.74,16510.00,5.71,,,,77.60,1.89,27.87,1.80,5.05,9.58
04/02/2019 12:46,4030,1049.22,28.25,15.00,,392.79,16530.00,5.75,,,,89.63,1.86,21.36,1.80,5.05,9.53
04/02/2019 13:01,4030,1049.72,28.17,14.80,,393.08,16500.00,5.83,,,,78.79,1.95,16.09,1.80,5.05,9.59
04/02/2019 13:16,4030,1050.40,28.35,14.87,,393.09,16500.00,5.81,,,,57.25,2.11,11.21,1.80,5.05,11.21
04/02/2019 13:31,4030,1049.66,28.20,14.94,,392.44,16350.00,5.73,,,,51.95,2.22,7.20,1.80,5.06,12.64
04/02/2019 13:46,4030,1049.26,27.89,14.88,,392.68,16000.00,5.68,,,,65.19,2.27,3.99,1.80,5.05,12.88
04/02/2019 14:01,4030,1050.05,28.43,14.99,,393.00,16080.00,5.70,,,,79.85,2.29,2.40,1.80,5.06,14.12
04/02/2019 14:16,4030,1050.29,28.22,15.00,,392.67,16920.00,5.75,,,,82.83,2.27,1.64,1.80,5.06,22.14
04/02/2019 14:31,4030,1049.58,28.05,14.85,,393.32,16990.00,5.78,,,,71.24,2.31,1.25,1.80,5.05,31.78
04/02/2019 14:46,4030,1050.41,28.46,14.91,,392.79,17000.00,5.73,,,,64.59,2.41,0.90,1.80,5.05,35.74
04/02/2019 15:01,4030,1049.63,28.08,14.87,,393.37,17000.00,5.69,,,,69.57,2.42,1.03,1.80,5.04,39.05
04/02/2019 15:16,4030,1032.21,28.24,14.75,,393.07,17010.00,5.68,,,,78.91,2.45,0.85,1.80,5.03,39.60
04/02/2019 15:31,4030,949.50,28.03,14.88,,392.61,17000.00,5.69,,,,89.11,2.49,0.64,1.80,5.03,39.62
04/02/2019 15:46,4030,950.39,28.25,14.91,,393.39,16970.00,5.72,,,,93.54,2.54,0.46,1.80,5.03,37.18
04/02/2019 16:01,4030,950.57,28.23,15.05,,392.32,16990.00,5.73,,,,94.14,2.60,0.31,1.80,5.04,35.25
04/02/2019 16:16,4030,949.48,28.12,14.82,,392.66,17000.00,5.74,,,,94.09,2.65,0.24,1.80,5.04,33.58
04/02/2019 16:31,4030,950.38,27.73,14.83,,393.10,17140.00,5.74,,,,95.46,2.69,0.16,1.80,5.04,31.86
04/02/2019 16:46,4030,950.74,28.56,14.90,,393.30,17800.00,5.75,,,,97.60,2.73,0.15,1.80,5.05,28.73
04/02/2019 17:01,4030,949.97,28.01,14.85,,392.82,18240.00,5.76,,,,99.61,2.75,0.12,1.80,5.05,28.38
04/02/2019 17:16,4030,950.17,28.12,14.90,,392.43,19020.00,5.77,,,,99.99,2.79,0.08,1.80,5.05,25.20
04/02/2019 17:31,4030,949.40,28.33,15.00,,393.14,19000.00,5.78,,,,100.72,2.82,0.06,1.80,5.06,24.49
04/02/2019 17:46,4030,950.21,28.20,14.89,,392.96,19010.00,5.79,,,,101.74,2.84,0.08,1.80,5.06,22.73
04/02/2019 18:01,4030,950.16,28.04,14.90,,392.82,19340.00,5.80,,,,103.10,2.87,0.05,1.80,5.06,20.53
04/02/2019 18:16,4030,949.87,28.21,14.98,,392.68,19500.00,5.81,,,,103.43,2.89,0.04,1.80,5.06,20.22
04/02/2019 18:31,4030,950.02,28.31,14.88,,392.81,19490.00,5.81,,,,103.59,2.92,0.03,1.80,5.06,18.53
04/02/2019 18:46,4030,949.81,27.89,14.93,,392.87,19510.00,5.82,,,,102.84,2.94,0.02,1.80,5.06,18.68
04/02/2019 19:01,4030,950.02,28.12,14.88,,392.97,19500.00,5.82,,,,103.45,2.97,0.02,1.80,5.06,18.42
04/02/2019 19:16,4030,950.59,28.08,14.91,,393.34,19500.00,5.82,,,,105.45,2.98,0.01,1.80,5.07,17.33
04/02/2019 19:31,4030,949.60,28.43,15.07,,393.82,19490.00,5.83,,,,106.17,3.00,0.02,1.80,5.07,16.97
04/02/2019 19:46,4030,949.81,28.47,14.86,,392.76,19500.00,5.84,,,,105.73,3.01,0.02,1.80,5.07,16.90
04/02/2019 20:01,4030,950.53,28.10,14.82,,392.67,19500.00,5.84,,,,106.26,3.03,0.02,1.80,5.07,16.52
04/02/2019 20:16,4030,949.38,28.15,14.86,,393.25,19480.00,5.84,,,,107.07,3.04,0.01,1.80,5.07,16.14
04/02/2019 20:31,4030,950.17,28.72,16.09,,413.98,20000.00,5.84,,,,108.00,3.01,0.01,1.87,5.13,17.44
04/02/2019 20:46,4030,949.24,31.97,17.36,,452.65,20490.00,5.85,,,,109.59,2.92,0.00,2.00,5.27,26.33
04/02/2019 21:01,4030,949.74,31.75,17.41,,453.11,20500.00,5.86,,,,109.53,2.90,0.00,2.00,5.26,26.54
04/02/2019 21:16,4030,950.46,31.56,17.42,,453.05,20530.00,5.87,,,,106.72,2.90,0.00,2.00,5.27,28.98
04/02/2019 21:31,4030,949.44,31.85,17.33,,453.06,20490.00,5.87,,,,105.40,2.91,0.00,2.00,5.27,34.20
04/02/2019 21:46,4030,949.99,31.77,17.40,,453.24,20500.00,5.87,,,,104.67,2.89,0.00,2.00,5.26,37.28
04/02/2019 22:01,4030,950.57,31.52,17.32,,452.82,20490.00,5.88,,,,102.49,2.88,0.00,2.00,5.26,44.55
04/02/2019 22:16,4030,949.31,31.85,17.44,,452.36,20530.00,5.88,,,,99.87,2.86,0.00,2.00,5.26,50.72
04/02/2019 22:31,4030,950.14,31.94,17.42,,453.27,20500.00,5.89,,,,96.28,2.82,0.00,2.00,5.25,57.44
04/02/2019 22:46,4030,959.35,31.56,17.38,,452.78,20500.00,5.90,,,,89.65,2.73,0.00,2.00,5.25,64.63
04/02/2019 23:01,4030,978.60,31.65,17.34,,453.06,20500.00,5.87,,,,86.27,2.72,0.05,2.00,5.28,63.89
04/02/2019 23:16,4030,986.42,31.69,17.26,,452.37,20680.00,5.84,,,,95.04,2.76,0.17,2.00,5.31,53.86
04/02/2019 23:31,4030,999.73,31.81,17.42,,453.44,21000.00,5.86,,,,105.28,2.77,0.31,2.00,5.32,49.35
04/02/2019 23:46,4030,999.63,31.80,17.35,,452.72,21000.00,5.89,,,,106.99,2.77,0.44,2.00,5.32,47.76
05/02/2019 00:01,4030,1000.08,31.50,17.39,,453.70,20990.00,5.90,,,,103.54,2.77,0.57,2.00,5.32,45.07
05/02/2019 00:16,4030,1000.31,31.87,17.43,,452.84,21000.00,5.89,,,,98.90,2.78,0.67,2.00,5.32,44.66
05/02/2019 00:31,4030,1000.06,31.54,17.32,,453.34,21010.00,5.87,,,,96.44,2.77,0.77,2.00,5.32,44.23
05/02/2019 00:46,4030,999.72,31.91,17.40,,453.09,21000.00,5.86,,,,97.75,2.74,0.85,2.00,5.32,44.35
05/02/2019 01:01,4030,1042.98,32.78,17.81,,470.09,20990.00,5.87,,,,96.78,2.66,0.93,2.00,5.32,47.30
05/02/2019 01:16,4030,1099.67,34.90,18.79,,496.65,20990.00,5.85,,,,96.55,2.46,0.98,2.00,5.31,54.04
05/02/2019 01:31,4030,1099.55,34.66,18.89,,496.50,20980.00,5.83,,,,101.05,2.42,1.08,2.00,5.31,52.28
05/02/2019 01:46,4030,1099.92,35.04,18.71,,497.21,21000.00,5.84,,,,105.32,2.39,1.07,2.00,5.31,51.03
05/02/2019 02:01,4030,1099.40,35.07,18.79,,496.70,20980.00,5.85,,,,105.21,2.38,1.04,2.00,5.31,48.17
05/02/2019 02:16,4030,1100.18,34.81,18.81,,497.34,21020.00,5.86,,,,101.48,2.39,1.18,2.00,5.32,45.90
05/02/2019 02:31,4030,1100.83,35.09,18.80,,496.84,21000.00,5.84,,,,99.33,2.40,1.28,2.00,5.32,45.13
05/02/2019 02:46,4030,1099.04,34.81,18.79,,496.98,21000.00,5.83,,,,99.28,2.40,1.28,2.00,5.32,44.36
05/02/2019 03:01,4030,1099.90,34.76,18.86,,496.69,21010.00,5.83,,,,101.26,2.39,1.30,2.00,5.32,43.88
05/02/2019 03:16,4030,1100.57,34.92,18.77,,497.11,21010.00,5.83,,,,102.39,2.38,1.35,2.00,5.32,45.26
05/02/2019 03:31,4030,1099.62,34.88,18.76,,496.71,21010.00,5.83,,,,102.23,2.38,1.39,2.00,5.32,47.60
05/02/2019 03:46,4030,1100.15,34.88,18.82,,497.45,20990.00,5.83,,,,101.35,2.38,1.31,2.00,5.31,49.70
05/02/2019 04:01,4030,1099.70,34.82,18.79,,496.60,20990.00,5.83,,,,101.63,2.37,1.27,2.00,5.31,51.42
05/02/2019 04:16,4030,1100.77,34.82,18.83,,497.24,21000.00,5.83,,,,101.68,2.34,1.18,2.00,5.30,53.80
05/02/2019 04:31,4030,1099.53,34.90,18.79,,497.01,21000.00,5.83,,,,99.71,2.29,1.16,2.00,5.30,58.46
05/02/2019 04:46,4030,1167.05,34.80,18.78,,497.64,21000.00,5.81,,,,100.52,2.42,1.18,2.00,5.30,55.09
05/02/2019 05:01,4030,1200.31,34.83,18.83,,496.74,21070.00,5.81,,,,106.01,2.49,1.21,2.00,5.29,53.34
05/02/2019 05:16,4030,1199.78,35.00,18.90,,497.52,21990.00,5.82,,,,110.15,2.50,1.22,2.00,5.29,54.15
05/02/2019 05:31,4030,1199.50,34.99,18.82,,496.95,22000.00,5.83,,,,109.18,2.45,1.26,2.00,5.29,57.49
05/02/2019 05:46,4030,1200.13,35.00,18.79,,496.84,22010.00,5.83,,,,107.04,2.41,1.22,2.00,5.28,60.74
05/02/2019 06:01,4030,1199.98,34.79,18.76,,497.71,22000.00,5.83,,,,104.54,2.39,1.24,2.00,5.28,62.95
05/02/2019 06:16,4030,1200.16,34.87,18.84,,497.21,22000.00,5.81,,,,103.94,2.41,1.26,2.00,5.28,63.64
05/02/2019 06:31,4030,1199.81,34.94,18.87,,497.18,21990.00,5.81,,,,106.03,2.45,1.31,2.00,5.27,63.40
05/02/2019 06:46,4030,1199.90,34.78,18.87,,497.43,21980.00,5.81,,,,111.04,2.49,1.25,2.00,5.27,62.42
05/02/2019 07:01,4030,1199.74,35.01,18.70,,496.56,21970.00,5.82,,,,113.34,2.51,1.33,2.00,5.26,62.42
05/02/2019 07:16,4030,1200.02,34.91,18.81,,496.87,22010.00,5.83,,,,113.32,2.50,1.29,2.00,5.26,63.40
05/02/2019 07:31,4030,1200.65,34.84,18.87,,497.22,21990.00,5.83,,,,112.07,2.48,1.35,2.00,5.26,64.89
05/02/2019 07:46,4030,1199.41,34.71,18.65,,496.73,21980.00,5.83,,,,110.77,2.45,1.58,2.00,5.25,65.49
05/02/2019 08:01,4030,1199.56,35.09,18.87,,496.79,22040.00,5.83,,,,109.02,2.44,1.68,2.00,5.25,65.96
05/02/2019 08:16,4030,1200.66,34.82,18.85,,497.21,22010.00,5.83,,,,109.72,2.45,1.69,2.00,5.25,64.88
05/02/2019 08:31,4030,1199.39,34.87,18.74,,497.27,22010.00,5.83,,,,110.81,2.46,1.81,2.00,5.24,64.67
05/02/2019 08:46,4030,1200.15,35.00,18.80,,497.05,22000.00,5.83,,,,112.27,2.47,1.74,2.00,5.24,64.22
05/02/2019 09:01,4030,1199.91,34.80,18.89,,496.99,22000.00,5.83,,,,113.01,2.48,1.70,2.00,5.24,63.80
05/02/2019 09:16,4030,1200.03,34.86,18.77,,496.95,22010.00,5.83,,,,114.64,2.46,1.81,2.00,5.24,63.21
05/02/2019 09:31,4030,1199.80,35.00,18.82,,497.72,22010.00,5.84,,,,114.64,2.46,1.78,2.00,5.24,62.41
05/02/2019 09:46,4030,1238.02,34.82,18.78,,497.08,22000.00,5.84,,,,113.25,2.46,1.77,2.00,5.24,62.27
05/02/2019 10:01,4030,1250.74,34.90,18.87,,496.94,22000.00,5.83,,,,113.36,2.48,1.69,2.00,5.24,61.74
05/02/2019 10:16,4030,1249.80,34.99,18.83,,497.22,21990.00,5.83,,,,115.02,2.49,1.57,2.00,5.24,60.57
05/02/2019 10:31,4030,1249.80,35.03,18.78,,497.22,22010.00,5.83,,,,116.21,2.49,1.61,2.00,5.24,59.97
05/02/2019 10:46,4030,1250.33,35.05,18.78,,497.32,22010.00,5.83,,,,116.97,2.51,1.54,2.00,5.24,59.26
05/02/2019 11:01,4030,1249.21,34.82,18.84,,496.49,21990.00,5.83,,,,117.59,2.52,1.41,2.00,5.24,57.77
05/02/2019 11:16,4030,1251.38,34.89,18.89,,497.37,22010.00,5.83,,,,118.22,2.53,1.52,2.00,5.24,56.23
05/02/2019 11:31,4030,1249.08,34.99,18.83,,496.63,21970.00,5.83,,,,117.67,2.54,1.70,2.00,5.24,54.56
05/02/2019 11:46,4030,1250.42,34.92,18.72,,497.34,22160.00,5.83,,,,116.67,2.55,1.68,2.00,5.24,52.83
05/02/2019 12:01,4030,1161.27,34.96,18.72,,496.82,22530.00,5.83,,,,116.73,2.56,1.64,2.00,5.24,52.36
05/02/2019 12:16,4030,1250.41,35.06,18.80,,497.23,22510.00,5.82,,,,117.57,2.56,1.52,2.00,5.25,51.19
05/02/2019 12:31,4030,1249.73,34.58,18.76,,497.12,22520.00,5.82,,,,119.40,2.56,1.55,2.00,5.25,49.36
05/02/2019 12:46,4030,1250.30,35.05,18.78,,497.00,22490.00,5.82,,,,119.45,2.58,1.58,2.00,5.25,48.16
05/02/2019 13:01,4030,1250.21,34.74,18.82,,497.05,22510.00,5.82,,,,119.10,2.61,1.57,2.00,5.25,46.41
05/02/2019 13:16,4030,1250.52,34.98,18.79,,496.94,22540.00,5.82,,,,119.40,2.62,1.75,2.00,5.25,45.29
05/02/2019 13:31,4030,1249.73,34.90,18.95,,497.68,22500.00,5.82,,,,118.42,2.62,1.87,2.00,5.26,43.01
05/02/2019 13:46,4030,1249.28,35.14,18.95,,497.71,22500.00,5.81,,,,117.74,2.64,2.07,2.00,5.26,40.74
05/02/2019 14:01,4030,1250.66,34.89,18.77,,497.41,22500.00,5.81,,,,118.38,2.63,2.35,2.00,5.26,38.67
05/02/2019 14:16,4030,1250.21,34.61,18.82,,497.33,22500.00,5.81,,,,117.67,2.66,2.70,2.00,5.26,37.01
05/02/2019 14:31,4030,1249.76,34.86,18.75,,497.21,22500.00,5.80,,,,117.81,2.68,2.75,2.00,5.27,34.67
05/02/2019 14:46,4030,1250.17,34.74,18.80,,496.88,22490.00,5.80,,,,118.87,2.69,2.53,2.00,5.27,32.53
05/02/2019 15:01,4030,1250.53,35.14,18.86,,497.41,22490.00,5.80,,,,118.39,2.71,2.56,2.00,5.27,29.66
05/02/2019 15:16,4030,1249.92,34.82,18.82,,497.25,22490.00,5.81,,,,117.53,2.72,2.40,2.00,5.27,29.31
05/02/2019 15:31,4030,1249.56,34.67,18.71,,497.14,22500.00,5.80,,,,117.77,2.73,2.32,2.00,5.27,27.00
05/02/2019 15:46,4030,1249.96,35.07,18.78,,497.00,22510.00,5.81,,,,116.78,2.73,2.38,2.00,5.27,28.87
05/02/2019 16:01,4030,1250.25,35.04,18.83,,496.82,22500.00,5.80,,,,114.69,2.72,2.22,2.00,5.27,29.02
05/02/2019 16:16,4030,1249.70,34.99,18.81,,497.04,22480.00,5.79,,,,113.06,2.71,1.91,2.00,5.27,28.67
05/02/2019 16:31,4030,1258.56,35.48,19.08,,503.56,22460.00,5.80,,,,112.21,2.70,1.96,2.00,5.26,31.43
05/02/2019 16:46,4030,1280.13,36.42,19.49,,516.87,22480.00,5.79,,,,110.87,2.70,2.00,2.00,5.26,32.79
05/02/2019 17:01,4030,1279.77,36.68,19.67,,516.47,22510.00,5.78,,,,112.88,2.71,2.26,2.00,5.26,32.42
05/02/2019 17:16,4030,1279.40,36.77,19.63,,516.90,22530.00,5.79,,,,115.58,2.71,2.59,2.00,5.26,29.43
05/02/2019 17:31,4030,1279.85,36.50,19.63,,516.93,22500.00,5.79,,,,116.27,2.71,2.60,2.00,5.26,27.63
05/02/2019 17:46,4030,1279.92,36.84,19.65,,517.25,22490.00,5.80,,,,115.22,2.72,2.34,2.00,5.26,27.00
05/02/2019 18:01,4030,1279.47,36.34,19.56,,516.67,22510.00,5.80,,,,115.05,2.73,2.32,2.00,5.26,26.25
05/02/2019 18:16,4030,1280.04,36.94,19.56,,517.18,22530.00,5.79,,,,114.79,2.73,2.44,2.00,5.26,24.90
05/02/2019 18:31,4030,1280.43,36.89,19.58,,516.80,22480.00,5.79,,,,116.61,2.72,2.53,2.00,5.26,24.20
05/02/2019 18:46,4030,1280.44,36.30,19.64,,517.40,22510.00,5.80,,,,115.06,2.72,2.60,2.00,5.26,23.63
05/02/2019 19:01,4030,1279.31,36.36,19.50,,517.00,22480.00,5.79,,,,116.07,2.73,2.45,2.00,5.26,22.58
05/02/2019 19:16,4030,1280.23,36.42,19.55,,517.13,22500.00,5.79,,,,116.52,2.72,2.28,2.00,5.27,20.18
