productivity_rank,Batch,Date,pH,OXYGEN,TOTAL_LIQUID_INFLOW,TOTAL_GAS_INFLOW,MEAN_OFFGAS,MEAN_PRESSURE
1,4041.0,2020-03-18 09:00:00,6.165,8.82,15994.08,7586.485000000001,28.049999999999997,3.3575
1,4041.0,2020-03-18 10:00:00,5.8975,7.09,16277.535,7624.742499999999,29.6575,3.41375
1,4041.0,2020-03-18 11:00:00,5.7875,8.435,18091.965,8019.37,33.43,3.54125
1,4041.0,2020-03-18 12:00:00,5.795,38.12,18324.0075,8131.1825,31.39875,3.55875
1,4041.0,2020-03-18 13:00:00,5.8025,8.6025,18315.392499999998,8169.685,18.19875,3.6287499999999997
1,4041.0,2020-03-18 14:00:00,5.835,55.7225,18337.275,8860.837500000001,8.11125,3.62875
1,4041.0,2020-03-18 15:00:00,5.797499999999999,88.425,18324.510000000002,9167.6175,7.33625,3.6025
1,4041.0,2020-03-18 16:00:00,5.7925,100.08500000000001,18319.565000000002,9161.78,7.02625,3.58375
1,4041.0,2020-03-18 17:00:00,5.79,104.1425,18056.5975,9167.7175,6.994999999999999,3.5875
1,4041.0,2020-03-18 18:00:00,5.795,98.5175,18823.4825,9174.1525,7.0,3.60625
1,4041.0,2020-03-18 19:00:00,5.797499999999999,98.77250000000001,18849.165,9179.9025,6.956250000000001,3.6087499999999997
1,4041.0,2020-03-18 20:00:00,5.7925,97.3425,18733.5925,9164.0525,7.00125,3.61
1,4041.0,2020-03-18 21:00:00,5.797499999999999,86.8175,17737.767499999998,8193.585000000001,6.978750000000001,3.6225
1,4041.0,2020-03-18 22:00:00,5.79,79.5575,17737.75,8182.69,6.95625,3.63
1,4041.0,2020-03-18 23:00:00,5.797499999999999,71.065,18091.82,8185.9925,6.9325,3.635
1,4041.0,2020-03-19 00:00:00,5.795,63.9925,18300.2575,8192.2125,6.96125,3.63375
1,4041.0,2020-03-19 01:00:00,5.7925,52.835,18304.065,8192.3975,6.96375,3.6175
1,4041.0,2020-03-19 02:00:00,5.805,37.2675,19238.61,8204.3575,6.98125,3.625
1,4041.0,2020-03-19 03:00:00,5.8025,32.615,19374.7375,8200.522500000001,6.945,3.6312499999999996
1,4041.0,2020-03-19 04:00:00,5.8175,37.81,18664.1125,8187.495000000001,6.99375,3.63
1,4041.0,2020-03-19 05:00:00,5.78,35.175,18516.885000000002,8194.255000000001,6.98,3.625
1,4041.0,2020-03-19 06:00:00,5.8,20.849999999999998,19488.3625,8576.9175,7.0075,3.63
1,4041.0,2020-03-19 07:00:00,5.8,11.42,19972.24,8701.2325,6.955,3.63875
1,4041.0,2020-03-19 08:00:00,5.8,8.942499999999999,20086.8275,8700.904999999999,6.897500000000001,3.645
1,4041.0,2020-03-19 09:00:00,5.8,7.5025,20071.785,8702.032500000001,6.96125,3.65
1,4041.0,2020-03-19 10:00:00,5.7925,7.834999999999999,20654.515,8711.054999999998,7.16625,3.645
1,4041.0,2020-03-19 11:00:00,5.797499999999999,8.155000000000001,20732.1475,8714.005000000001,8.25375,3.64
1,4041.0,2020-03-19 12:00:00,5.8625,26.055,21240.0575,8692.012499999999,9.44875,3.63
1,4041.0,2020-03-19 13:00:00,5.6775,28.6875,21358.9775,9486.707499999999,7.44125,3.64625
1,4041.0,2020-03-19 14:00:00,5.76,20.2675,21227.36,10024.01,7.20375,3.6487499999999997
1,4041.0,2020-03-19 15:00:00,5.8025,14.09,21213.4425,9973.2775,7.15125,3.6537499999999996
1,4041.0,2020-03-19 16:00:00,5.795,14.985,21672.005,9966.817500000001,7.03125,3.655
1,4041.0,2020-03-19 17:00:00,5.8025,10.940000000000001,23106.7825,9976.877499999999,7.1575,3.6574999999999998
1,4041.0,2020-03-19 18:00:00,5.8,9.285,23382.95,9971.912499999999,7.12625,3.66
1,4041.0,2020-03-19 19:00:00,5.8,8.02,23352.5225,9975.5375,7.0525,3.6625
1,4041.0,2020-03-19 20:00:00,5.8,8.14,23348.325,9979.0075,7.06375,3.665
1,4041.0,2020-03-19 21:00:00,5.807499999999999,6.865,23729.5125,9978.372500000001,7.109999999999999,3.665
1,4041.0,2020-03-19 22:00:00,5.81,18.25,24233.1375,9970.255000000001,7.0725,3.65625
1,4041.0,2020-03-19 23:00:00,5.797499999999999,36.662499999999994,24243.8825,9964.66,7.029999999999999,3.645
1,4041.0,2020-03-20 00:00:00,5.8025,51.475,24241.565,9963.7125,7.00875,3.63
1,4041.0,2020-03-20 01:00:00,5.8,59.85,24258.305,9964.295,6.98625,3.6175
1,4041.0,2020-03-20 02:00:00,5.8,62.2225,24277.295,9964.7425,6.998749999999999,3.615
1,4041.0,2020-03-20 03:00:00,5.797499999999999,62.1525,24278.7725,9964.197500000002,6.94,3.6125
1,4041.0,2020-03-20 04:00:00,5.8025,63.5775,24259.6475,9964.0425,6.9312499999999995,3.61
1,4041.0,2020-03-20 05:00:00,5.8,65.0375,24231.915,9961.5025,6.94125,3.61
1,4041.0,2020-03-20 06:00:00,5.8,67.1675,24265.4375,9962.759999999998,6.91375,3.6075
1,4041.0,2020-03-20 07:00:00,5.805,67.46000000000001,24155.05,9965.074999999999,6.9975000000000005,3.60375
1,4041.0,2020-03-20 08:00:00,5.7975,85.95,24193.010000000002,9940.79,6.81125,3.56875
1,4041.0,2020-03-20 09:00:00,5.795,78.9125,24266.405,9960.11,6.94625,3.5525
1,4041.0,2020-03-20 10:00:00,5.797499999999999,72.7125,24825.93,9964.045,6.93,3.56875
1,4041.0,2020-03-20 11:00:00,5.795,65.33,24792.09,9964.7975,6.9037500000000005,3.5875
1,4041.0,2020-03-20 12:00:00,5.795,51.4525,24847.9875,9972.057499999999,6.88,3.61125
1,4041.0,2020-03-20 13:00:00,5.797499999999999,33.6675,24637.260000000002,9981.23,6.90125,3.6275
1,4041.0,2020-03-20 14:00:00,5.8025,14.8525,24246.14,9980.145,6.98,3.64
1,4041.0,2020-03-20 15:00:00,5.8025,8.715,24278.975,9983.5225,7.01,3.65125
1,4041.0,2020-03-20 16:00:00,5.8025,8.3775,24082.205,9975.2025,6.95125,3.655
1,4041.0,2020-03-20 17:00:00,5.8,7.195,23820.1875,9972.5975,6.9325,3.655
1,4041.0,2020-03-20 18:00:00,5.8,5.8925,23348.4125,9970.7375,6.8875,3.65875
1,4041.0,2020-03-20 19:00:00,5.797499999999999,5.7075,23314.315000000002,9972.49,6.85875,3.66125
1,4041.0,2020-03-20 20:00:00,5.8025,5.0525,23343.2275,9974.494999999999,6.86125,3.65
1,4041.0,2020-03-20 21:00:00,5.8,4.3375,23315.114999999998,9969.5975,7.34375,3.6312499999999996
1,4041.0,2020-03-20 22:00:00,5.7875,7.295,22830.190000000002,9953.5,9.26625,3.63
1,4041.0,2020-03-20 23:00:00,5.775,26.79,22979.555,9932.622500000001,8.085,3.625
