,Date and time,Batch,LIQUID INFLOW 1,LIQUID INFLOW 2,LIQUID INFLOW 3,LIQUID INFLOW 4,LIQUID INFLOW 5,LIQUID INFLOW 6,pH,GAS INFLOW 1,GAS INFLOW 2,GAS INFLOW 3,GAS INFLOW 4,OFFGAS 1,OFFGAS 2,PRESSURE 1,PRESSURE 2,OXYGEN,LIQUID INFLOW 1_lag1,LIQUID INFLOW 2_lag1,LIQUID INFLOW 3_lag1,LIQUID INFLOW 4_lag1,LIQUID INFLOW 5_lag1,LIQUID INFLOW 6_lag1,LIQUID INFLOW 1_lag2,LIQUID INFLOW 2_lag2,LIQUID INFLOW 3_lag2,LIQUID INFLOW 4_lag2,LIQUID INFLOW 5_lag2,LIQUID INFLOW 6_lag2,LIQUID INFLOW 1_lag3,LIQUID INFLOW 2_lag3,LIQUID INFLOW 3_lag3,LIQUID INFLOW 4_lag3,LIQUID INFLOW 5_lag3,LIQUID INFLOW 6_lag3,LIQUID INFLOW 1_lag4,LIQUID INFLOW 2_lag4,LIQUID INFLOW 3_lag4,LIQUID INFLOW 4_lag4,LIQUID INFLOW 5_lag4,LIQUID INFLOW 6_lag4,GAS INFLOW 1_lag1,GAS INFLOW 2_lag1,GAS INFLOW 3_lag1,GAS INFLOW 4_lag1,GAS INFLOW 1_lag2,GAS INFLOW 2_lag2,GAS INFLOW 3_lag2,GAS INFLOW 4_lag2,GAS INFLOW 1_lag3,GAS INFLOW 2_lag3,GAS INFLOW 3_lag3,GAS INFLOW 4_lag3,GAS INFLOW 1_lag4,GAS INFLOW 2_lag4,GAS INFLOW 3_lag4,GAS INFLOW 4_lag4,pH_lag1,OFFGAS 1_lag1,OFFGAS 2_lag1,PRESSURE 1_lag1,PRESSURE 2_lag1,OXYGEN_lag1,pH_lag2,OFFGAS 1_lag2,OFFGAS 2_lag2,PRESSURE 1_lag2,PRESSURE 2_lag2,OXYGEN_lag2,time_since_batch_start_hr,Batch_4030,Batch_4032,Batch_4033,Batch_4034,Batch_4035,Batch_4036,Batch_4037,Batch_4038,Batch_4039,Batch_4040,Batch_4041,Batch_4042,Batch_4043,Batch_4044,Batch_4045,Batch_4046,Batch_4047,Batch_4048,Batch_4050,Batch_4051,Batch_4052,Batch_4053,Product (g/litre)
3,2019-02-04 09:31:00,4030,1047.57,25.59,13.97,,356.77,15000.0,5.79,,,,53.91,2.0,27.01,1.8,5.15,7.23,1049.61,25.44,13.59,,356.83,15010.0,1049.09,25.62,13.54,,357.44,15000.0,1049.57,25.91,14.44,,297.73,14980.0,,,,,,,,,,56.03,,,,56.88,,,,55.14,,,,,5.8,1.94,23.77,1.8,5.15,8.07,5.79,1.89,20.52,1.8,5.16,8.39,0.75,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.2
13,2019-02-04 12:01:00,4030,1050.37,28.08,14.84,,392.87,16480.0,5.77,,,,39.78,1.53,37.05,1.8,5.01,51.01,1061.85,28.06,14.85,,392.9,16480.0,933.25,28.41,14.91,,392.76,16510.0,941.04,27.98,14.86,,393.13,16510.0,950.22,28.33,14.96,,393.07,16470.0,,,,25.12,,,,25.43,,,,48.47,,,,65.56,5.89,1.26,40.91,1.8,5.01,88.1,5.85,1.56,44.01,1.8,5.05,62.97,3.25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.0
45,2019-02-04 20:01:00,4030,950.53,28.1,14.82,,392.67,19500.0,5.84,,,,106.26,3.03,0.02,1.8,5.07,16.52,949.81,28.47,14.86,,392.76,19500.0,949.6,28.43,15.07,,393.82,19490.0,950.59,28.08,14.91,,393.34,19500.0,950.02,28.12,14.88,,392.97,19500.0,,,,105.73,,,,106.17,,,,105.45,,,,103.45,5.84,3.01,0.02,1.8,5.07,16.9,5.83,3.0,0.02,1.8,5.07,16.97,11.25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.5
61,2019-02-05 00:01:00,4030,1000.08,31.5,17.39,,453.7,20990.0,5.9,,,,103.54,2.77,0.57,2.0,5.32,45.07,999.63,31.8,17.35,,452.72,21000.0,999.73,31.81,17.42,,453.44,21000.0,986.42,31.69,17.26,,452.37,20680.0,978.6,31.65,17.34,,453.06,20500.0,,,,106.99,,,,105.28,,,,95.04,,,,86.27,5.89,2.77,0.44,2.0,5.32,47.76,5.86,2.77,0.31,2.0,5.32,49.35,15.25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.0
77,2019-02-05 04:01:00,4030,1099.7,34.82,18.79,,496.6,20990.0,5.83,,,,101.63,2.37,1.27,2.0,5.31,51.42,1100.15,34.88,18.82,,497.45,20990.0,1099.62,34.88,18.76,,496.71,21010.0,1100.57,34.92,18.77,,497.11,21010.0,1099.9,34.76,18.86,,496.69,21010.0,,,,101.35,,,,102.23,,,,102.39,,,,101.26,5.83,2.38,1.31,2.0,5.31,49.7,5.83,2.38,1.39,2.0,5.32,47.6,19.25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.6
93,2019-02-05 08:01:00,4030,1199.56,35.09,18.87,,496.79,22040.0,5.83,,,,109.02,2.44,1.68,2.0,5.25,65.96,1199.41,34.71,18.65,,496.73,21980.0,1200.65,34.84,18.87,,497.22,21990.0,1200.02,34.91,18.81,,496.87,22010.0,1199.74,35.01,18.7,,496.56,21970.0,,,,110.77,,,,112.07,,,,113.32,,,,113.34,5.83,2.45,1.58,2.0,5.25,65.49,5.83,2.48,1.35,2.0,5.26,64.89,23.25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.5
109,2019-02-05 12:01:00,4030,1161.27,34.96,18.72,,496.82,22530.0,5.83,,,,116.73,2.56,1.64,2.0,5.24,52.36,1250.42,34.92,18.72,,497.34,22160.0,1249.08,34.99,18.83,,496.63,21970.0,1251.38,34.89,18.89,,497.37,22010.0,1249.21,34.82,18.84,,496.49,21990.0,,,,116.67,,,,117.67,,,,118.22,,,,117.59,5.83,2.55,1.68,2.0,5.24,52.83,5.83,2.54,1.7,2.0,5.24,54.56,27.25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.0
121,2019-02-05 15:01:00,4030,1250.53,35.14,18.86,,497.41,22490.0,5.8,,,,118.39,2.71,2.56,2.0,5.27,29.66,1250.17,34.74,18.8,,496.88,22490.0,1249.76,34.86,18.75,,497.21,22500.0,1250.21,34.61,18.82,,497.33,22500.0,1250.66,34.89,18.77,,497.41,22500.0,,,,118.87,,,,117.81,,,,117.67,,,,118.38,5.8,2.69,2.53,2.0,5.27,32.53,5.8,2.68,2.75,2.0,5.27,34.67,30.25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.4
141,2019-02-05 20:01:00,4030,1280.15,36.58,19.67,,517.08,22490.0,5.79,,,,114.7,2.71,2.25,2.0,5.27,17.3,1279.71,36.71,19.35,,516.65,22500.0,1280.15,36.74,19.74,,517.14,22480.0,1280.23,36.42,19.55,,517.13,22500.0,1279.31,36.36,19.5,,517.0,22480.0,,,,114.19,,,,115.61,,,,116.52,,,,116.07,5.79,2.72,2.15,2.0,5.27,17.93,5.79,2.73,2.11,2.0,5.27,19.0,35.25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.4
157,2019-02-06 00:01:00,4030,1309.94,37.58,20.26,,537.27,22490.0,5.76,,,,119.06,2.54,2.4,2.0,5.29,12.9,1310.05,37.54,20.33,,537.66,22500.0,1310.44,37.46,20.35,,536.74,22500.0,1310.04,37.67,20.31,,536.72,22550.0,1309.53,37.67,20.36,,537.18,22510.0,,,,119.0,,,,119.23,,,,118.98,,,,118.81,5.77,2.55,2.37,2.0,5.29,13.5,5.77,2.55,2.21,2.0,5.28,13.81,39.25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.6
